date,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,BB_MA,BB_STD,BB_UPPER,BB_LOWER,TR,ATR_14,VOLUME_MA,VOLUME_RATIO,VNINDEX_close,VNINDEX_return,VNINDEX_volatility,VN30_close,VN30_return,VN30_volatility,future_return,label,period,symbol
2015-01-30,2690,2678,2572,2629,478259,2668.8,2578.7,2502.95,2581.9577544996428,2502.051449340253,62.765957446808514,79.90630515938983,59.063213511662426,20.843091647727405,2502.95,115.88809257210197,2734.7261851442036,2271.173814855796,134.0,95.64285714285714,376723.85,1.269521427963746,576.07,-0.01236113016047169,0.009688019951527715,606.54,-0.011988923277406749,0.007748650212766156,-0.023202738683910207,-1,train,ACB
2015-02-02,2614,2618,2543,2568,265344,2656.6,2589.4,2514.4,2579.8104076535437,2506.9365271669008,53.49544072948328,72.87388048664297,61.82534690665854,11.048533579984436,2514.4,110.00019138739373,2734.4003827747874,2294.3996172252128,86.0,94.28571428571429,387196.65,0.685295185276009,570.37,-0.009894630860832976,0.009688019951527715,598.46,-0.013321462722985955,0.007748650212766156,-0.053738317757009324,-1,train,ACB
2015-02-03,2568,2506,2358,2430,827865,2616.8,2587.8,2517.45,2556.7626526299214,2501.2375251545377,46.93333333333334,55.52512747538367,60.56530302040356,-5.040175545019892,2517.45,106.54797535679256,2730.5459507135847,2304.354049286415,210.0,104.71428571428571,424099.8,1.9520523235332816,557.47,-0.022616897803180325,0.01101235808291826,585.47,-0.021705711325736066,0.008672505499110651,0.012757201646090621,1,train,ACB
2015-02-04,2415,2498,2421,2461,270500,2558.8,2590.9,2520.5,2542.0299368407027,2498.256967735683,52.10884353741496,43.77296910501991,57.20683623732684,-13.43386713230693,2520.5,103.84781375191648,2728.195627503833,2312.804372496167,77.0,105.85714285714286,425981.75,0.6350037296198722,561.45,0.007139397635747224,0.01107767733255393,588.83,0.005738978939996864,0.008793871046906552,0.0,0,train,ACB
2015-02-05,2461,2488,2442,2461,74461,2509.8,2587.8,2522.8,2529.563792711364,2495.4971923478543,52.10884353741496,34.06660036350968,52.57878906256341,-18.51218869905373,2522.8,101.87897877280463,2726.5579575456095,2319.042042454391,46.0,104.78571428571429,428960.8,0.17358462591453577,567.17,0.010187906314008233,0.01126735480830173,591.28,0.004160793437834265,0.0088858432664188,0.01869158878504673,1,train,ACB
2015-02-06,2461,2545,2313,2507,245283,2485.4,2577.1,2526.65,2526.0924399865385,2496.349252173939,53.06666666666667,29.743187812599444,48.01166881257062,-18.268480999971175,2526.65,99.61730720480728,2725.8846144096146,2327.4153855903855,232.0,117.14285714285714,406543.8,0.6033372049948862,574.13,0.012271453003508626,0.00953910478711016,595.69,0.007458395345690816,0.0078035368920253935,-0.01834862385321101,-1,train,ACB
2015-02-09,2507,2513,2437,2461,72974,2464.0,2560.3,2526.65,2516.078218450148,2493.7307890499433,50.96030729833546,22.347429400204874,42.878820930097476,-20.531391529892602,2526.65,99.61730720480728,2725.8846144096146,2327.4153855903855,76.0,119.28571428571429,391775.8,0.18626469526703793,573.55,-0.0010102241652587551,0.009371464265284466,594.77,-0.0015444274706644112,0.007781531594996551,0.006095083299471726,1,train,ACB
2015-02-10,2446,2500,2439,2476,105679,2473.2,2545.0,2524.35,2509.912338688587,2492.417397268466,52.94871794871795,17.494941420120995,37.802045028102185,-20.30710360798119,2524.35,100.25928228453779,2724.8685645690757,2323.831435430924,61.0,120.42857142857143,376259.45,0.2808673642615488,574.52,0.0016912213407724863,0.009023994091919087,595.53,0.001277804865746468,0.007608257437066355,0.012520193861066176,1,train,ACB
2015-02-11,2476,2524,2479,2507,90914,2482.4,2520.6,2525.9,2509.4642865826504,2493.4975900633945,51.00133511348465,15.966696519255947,33.43497532633294,-17.46827880707699,2525.9,99.71058118374452,2725.3211623674893,2326.478837632511,48.0,116.64285714285714,365784.15,0.24854548782389832,581.76,0.012601824131448947,0.009370891795324982,607.33,0.019814283075579864,0.009001289146553832,0.0,0,train,ACB
2015-02-12,2507,2528,2497,2507,87911,2491.6,2500.7,2529.75,2509.085165569935,2494.4977685772174,41.46730462519936,14.587396992717458,29.665459659609844,-15.078062666892386,2529.75,97.2694981130159,2724.288996226032,2335.211003773968,31.0,105.78571428571429,357931.5,0.24560844742639304,584.67,0.005002062706270571,0.009425060438204598,613.36,0.009928704328783233,0.009306071256441232,0.024331870761866714,1,train,ACB
2015-02-13,2522,2603,2512,2568,650359,2503.8,2494.6,2536.65,2518.1489862514836,2499.9423783122384,45.46805349182764,18.20660793924526,27.37368931553693,-9.16708137629167,2536.65,94.6813353473535,2726.012670694707,2347.287329305293,96.0,110.5,371739.25,1.7495031799843572,587.24,0.004395641986077781,0.009360698772361844,617.2,0.006260597365332021,0.009356341274656033,0.01791277258566981,1,train,ACB
2015-02-24,2583,2642,2581,2614,140871,2534.4,2499.2,2544.3,2532.8952960589477,2508.3910910298505,48.95688456189151,24.504205029097193,26.79979245824898,-2.2955874291517873,2544.3,94.4279731078841,2733.1559462157684,2355.444053784232,74.0,105.92857142857143,367266.95,0.3835656870295571,596.95,0.016534977181390964,0.00981653411513196,624.17,0.011292935839273932,0.00958203961385337,0.011476664116296886,1,train,ACB
2015-02-25,2629,2671,2581,2644,672279,2568.0,2520.6,2554.2,2549.9883274344943,2518.4361953980097,41.46730462519936,31.552132036484636,27.75026037389611,3.8018716625885247,2554.2,93.95777327020305,2742.115546540406,2366.284453459594,90.0,95.42857142857143,397122.3,1.6928764765917201,592.66,-0.0071865315353045744,0.010039384582419368,619.44,-0.007578063668551738,0.009713795265543999,0.0,0,train,ACB
2015-02-26,2644,2671,2609,2644,112327,2595.4,2538.9,2564.9,2564.4516616753413,2527.7372179611198,44.67353951890034,36.71444371422149,29.54309704196119,7.171346672260299,2564.9,91.214553317123,2747.3291066342463,2382.470893365754,62.0,94.5,392470.1,0.286205242131821,596.72,0.006850470758951177,0.009949286199044699,623.84,0.0071031899780447105,0.009726345677712292,-0.017019667170953157,-1,train,ACB
2015-02-27,2660,2642,2581,2599,64375,2613.8,2552.7,2570.25,2569.7667906483657,2533.0159425565926,47.27272727272727,36.75084809177315,30.984647251923583,5.766200839849567,2570.25,89.84130746107813,2749.932614922156,2390.567385077844,63.0,89.42857142857143,380640.6,0.16912278931884828,592.57,-0.00695468561469359,0.010011976476645642,618.39,-0.008736214413952337,0.009911392413838132,0.0,0,train,ACB
2015-03-02,2629,2628,2583,2599,100838,2620.0,2561.9,2569.5,2574.264207471694,2537.9036505153636,53.169734151329244,36.36055695633058,32.05982919280498,4.3007277635256,2569.5,89.51888950912846,2748.537779018257,2390.462220981743,45.0,86.5,313588.8,0.32156122922757446,590.73,-0.0031051183826383832,0.009644629571740164,617.05,-0.0021669173175504763,0.009782135306591498,-0.006156213928434018,-1,train,ACB
2015-03-03,2629,2617,2572,2583,603931,2613.8,2574.1,2567.2,2575.6081755529717,2541.244120847559,70.84468664850137,34.364054705412855,32.52067429532656,1.8433804100862972,2567.2,88.49478129126966,2744.189562582539,2390.2104374174605,45.0,74.71428571428571,328435.05,1.8388140973382714,596.72,0.010139996275794427,0.009821503239423365,627.27,0.016562677254679636,0.010377340865687815,0.0,0,train,ACB
2015-03-04,2599,2599,2568,2583,412425,2601.6,2584.8,2564.9,2576.745379314053,2544.337148932925,68.1547619047619,32.40823038112785,32.49818551248682,-0.08995513135896971,2564.9,87.39498961912227,2739.6899792382446,2390.1100207617555,31.0,71.42857142857143,333273.75,1.2374962024461873,600.39,0.0061502882423916105,0.009834958421431254,629.69,0.00385798778835289,0.010307285903979392,-0.005807200929152101,-1,train,ACB
2015-03-05,2583,2593,2562,2568,159152,2586.4,2590.9,2555.75,2575.39993634266,2546.0899527156716,65.24216524216524,29.30998362698847,31.860545135387152,-2.5505615083986832,2555.75,75.67998762100822,2707.1099752420164,2404.3900247579836,31.0,70.35714285714286,293237.8,0.5427403970429461,596.91,-0.005796232448908256,0.009874376015432862,625.25,-0.007051088630913749,0.010433730095357644,0.012071651090342694,1,train,ACB
2015-03-06,2568,2627,2565,2599,322073,2586.4,2600.1,2550.4,2579.0307153668664,2550.009215477474,63.6904761904762,29.021499889392544,31.292736086188235,-2.271236196795691,2550.4,67.87945972554398,2686.158919451088,2414.641080548912,62.0,58.214285714285715,287891.0,1.1187324369292544,593.97,-0.004925365633009937,0.009960000231764904,622.75,-0.003998400639744104,0.01049346704711723,-0.006156213928434018,-1,train,ACB
2015-03-09,2599,2607,2562,2583,159821,2583.2,2601.6,2548.1,2579.6413745411946,2552.4529772939572,69.93464052287581,27.18839724723739,30.47186831839807,-3.2834710711606796,2548.1,65.82424765196743,2679.7484953039348,2416.451504696065,45.0,56.0,271969.1,0.587643963965024,588.44,-0.009310234523629113,0.009766797693650577,621.1,-0.0026495383380168436,0.01009616559487994,0.006194347657762389,1,train,ACB
2015-03-10,2583,2621,2590,2599,96698,2586.4,2600.1,2549.65,2582.61962461178,2555.9009049018123,70.03257328990229,26.7187197099679,29.721238596712038,-3.002518886744138,2549.65,66.67697069493184,2683.003941389864,2416.2960586101362,38.0,54.357142857142854,263536.8,0.3669240880211037,589.66,0.0020732784990822317,0.009417571413728964,621.1,-0.0026495383380168436,0.01009616559487994,0.005771450557906954,1,train,ACB
2015-03-11,2599,2641,2595,2614,561767,2592.6,2597.1,2558.85,2587.447374671506,2560.204541575752,68.38487972508591,27.242833095754122,29.225557496520455,-1.9827244007663332,2558.85,61.81574914296046,2682.4814982859207,2435.218501714079,46.0,54.214285714285715,250231.9,2.244985551402519,586.54,-0.00529118475053425,0.007703203971731266,619.27,-0.0029463854451780014,0.00956122984577319,-0.005738332058148443,-1,train,ACB
2015-03-12,2583,2613,2536,2599,47908,2598.8,2592.6,2565.75,2589.2247016451206,2563.0782792368077,65.03267973856208,26.1464224083129,28.609730478878948,-2.463308070566047,2565.75,57.89634567142735,2681.5426913428546,2449.9573086571454,78.0,57.57142857142857,239102.3,0.2003661194392526,588.53,0.0033927779861562257,0.007631532477169438,620.24,0.0015663603920745839,0.0078120144405632716,-0.006156213928434018,-1,train,ACB
2015-03-13,2599,2598,2567,2583,162894,2595.6,2591.0,2571.85,2588.2670552381787,2564.5539622563037,52.87356321839081,23.71309298187498,27.630402979478156,-3.9173099976031764,2571.85,52.449750388248766,2676.7495007764974,2466.9504992235024,32.0,53.0,243523.95,0.6689034076525122,586.1,-0.004128931405365854,0.007531968620327578,616.94,-0.005320521088610808,0.007991160556262068,0.0,0,train,ACB
2015-03-16,2599,2596,2566,2583,340462,2595.6,2589.4,2575.65,2587.4567390476896,2565.9203354225037,42.79069767441861,21.536403625185812,26.41160310861969,-4.875199483433878,2575.65,50.20932498838828,2676.0686499767767,2475.2313500232235,30.0,49.857142857142854,248282.9,1.371266406184236,580.8,-0.009042825456406889,0.007460526821196536,610.63,-0.010227898985314732,0.008455168268307346,0.0,0,train,ACB
2015-03-17,2583,2597,2582,2583,118588,2592.4,2589.4,2581.75,2586.7710868865065,2567.185495761578,33.5135135135135,19.58559112492867,25.04640071188149,-5.46080958695282,2581.75,42.34181086548528,2666.4336217309706,2497.0663782690294,15.0,44.5,250563.6,0.47328502623685165,581.76,0.0016528925619836432,0.007453961412370092,611.24,0.0009989682786630816,0.008344066180708596,0.0,0,train,ACB
2015-03-18,2339,2592,2333,2583,259352,2586.2,2589.4,2587.1,2586.1909196731976,2568.3569405199796,33.5135135135135,17.833979153218024,23.603916400148798,-5.769937246930773,2587.1,34.26660181576365,2655.633203631527,2518.5667963684728,259.0,58.57142857142857,258247.25,1.0042778771119538,578.68,-0.005294279427942916,0.007569670177072756,607.18,-0.006642235455794898,0.008512407946787807,0.0,0,train,ACB
2015-03-19,2599,2745,2578,2583,129073,2583.0,2590.9,2590.9,2585.700008954244,2569.4416115925737,44.285714285714285,16.258397361670177,22.134812592453073,-5.8764152307828965,2590.9,28.674030062062954,2648.248060124126,2533.5519398758743,167.0,66.0,260155.2,0.49613845888915536,573.74,-0.008536669661989293,0.007243240645644262,601.31,-0.009667643861787312,0.008843568955035084,0.01200154858691449,1,train,ACB
2015-03-20,2583,2631,2600,2614,116347,2589.2,2592.4,2596.25,2590.053853730514,2572.742232956087,54.385964912280706,17.31162077442741,21.17017422884794,-3.85855345442053,2596.25,21.205448654335488,2638.660897308671,2553.839102691329,48.0,66.21428571428571,261577.0,0.4447906352622746,575.44,0.0029630146059191897,0.007173228461786643,603.76,0.00407443747817271,0.007656934622354877,-0.011859219586840108,-1,train,ACB
2015-03-23,2599,2594,2579,2583,57431,2589.2,2592.4,2597.0,2588.968645464281,2573.502067551932,50.0,15.46657791234884,20.02945496554812,-4.56287705319928,2597.0,20.403818012170234,2637.8076360243404,2556.1923639756596,35.0,65.5,231930.6,0.2476214867723362,570.89,-0.00790699290977348,0.007234096759845435,598.07,-0.009424274546177225,0.007522326590644704,-0.005807200929152101,-1,train,ACB
2015-03-24,2583,2587,2556,2568,222685,2586.2,2589.3,2594.7,2585.742700008238,2573.0945069925297,46.268656716417915,12.64819301570833,18.553202575580162,-5.905009559871832,2594.7,20.971409108595488,2636.642818217191,2552.757181782809,31.0,65.5,236021.3,0.9434953540210143,567.43,-0.006060712221268583,0.005935934953906974,593.8,-0.007139632484491898,0.0074156152065577635,0.012071651090342694,1,train,ACB
2015-03-25,2568,2617,2586,2599,122734,2589.4,2587.8,2592.45,2587.7822846223553,2575.0134324004907,57.14285714285714,12.768852221864563,17.396332504837044,-4.627480282972481,2592.45,17.536353218688642,2627.522706437377,2557.3772935626225,49.0,66.78571428571429,208544.05,0.5885279393010734,560.93,-0.01145515746435688,0.0061842585655621255,590.17,-0.006113169417312214,0.006779317072415055,0.0,0,train,ACB
2015-03-26,2599,2619,2588,2599,165791,2592.6,2587.8,2590.2,2589.5080869881467,2576.7902151856397,50.0,12.717871802507034,16.46064036437104,-3.7427685618640076,2590.2,12.829242911578957,2615.858485823158,2564.5415141768417,31.0,64.57142857142857,211217.25,0.7849311550074627,556.16,-0.008503734868878454,0.005877884689533895,586.7,-0.005879661792364765,0.006726415551215947,-0.011927664486340861,-1,train,ACB
