date,open,high,low,close,volume
2015-12-08,8365,8700,8254,8588,111010
2015-12-09,8477,8588,8309,8365,99560
2015-12-10,8421,8477,8254,8254,51590
2015-12-11,8254,8421,8198,8421,45980
2015-12-14,8365,8477,8309,8477,53090
2015-12-15,8477,8533,8421,8533,100200
2015-12-16,8588,8867,8533,8756,304540
2015-12-17,8756,8811,8700,8811,305780
2015-12-18,8756,8811,8756,8756,86030
2015-12-21,8700,8811,8644,8811,93740
2015-12-22,8756,8811,8588,8700,236520
2015-12-23,8644,8811,8644,8756,182850
2015-12-24,8756,8811,8700,8811,57330
2015-12-25,8811,8811,8644,8644,51660
2015-12-28,8644,8923,8588,8867,316120
2015-12-29,8811,8923,8811,8867,109910
2015-12-30,8867,9034,8867,9034,264060
2015-12-31,8867,8979,8700,8756,398870
2016-01-04,8756,8979,8700,8811,396020
2016-01-05,8811,8811,8644,8811,98210
2016-01-06,8756,8811,8700,8756,76610
2016-01-07,8700,8700,8365,8477,222750
2016-01-08,8421,8477,8142,8365,97350
2016-01-11,8309,8365,8142,8254,96610
2016-01-12,8142,8365,8142,8365,72520
2016-01-13,8421,8421,8309,8309,58300
2016-01-14,8198,8254,8086,8198,177250
2016-01-15,8198,8198,8086,8086,103340
2016-01-18,8031,8031,7529,7696,222550
2016-01-19,7696,7919,7640,7919,86980
2016-01-20,7919,7919,7752,7808,49190
2016-01-21,7808,7808,7640,7696,65230
2016-01-22,7696,7808,7473,7584,94540
2016-01-25,7919,8031,7752,8031,175000
2016-01-26,7919,7975,7808,7919,59150
2016-01-27,7919,7975,7863,7975,55080
2016-01-28,7975,7975,7808,7808,32570
2016-01-29,7808,8031,7808,8031,149010
2016-02-01,7919,8086,7919,8031,105090
2016-02-02,7975,8086,7975,8031,51310
2016-02-03,7919,8031,7919,8031,38030
2016-02-04,8031,8142,8031,8031,46320
2016-02-05,8031,8198,8031,8198,41110
2016-02-15,8031,8142,7975,8086,41340
2016-02-16,8086,8086,7975,8086,79510
2016-02-17,8086,8142,8031,8031,91360
2016-02-18,8031,8365,8031,8309,133790
2016-02-19,8365,8365,8254,8254,52460
2016-02-22,8309,8477,8309,8477,132720
2016-02-23,8588,8700,8533,8588,265520
2016-02-24,8588,8700,8477,8644,61870
2016-02-25,8644,8700,8477,8477,197130
2016-02-26,8477,8588,8421,8421,137910
2016-02-29,8533,8533,8365,8365,140520
2016-03-01,8365,8477,8365,8421,109110
2016-03-02,8421,8811,8421,8811,393160
2016-03-03,8811,8811,8756,8811,86750
2016-03-04,8756,9034,8700,8867,339340
2016-03-07,8867,8923,8756,8811,132110
2016-03-08,8811,8867,8700,8756,107410
2016-03-09,8700,8811,8700,8700,109120
2016-03-10,8700,8811,8700,8811,105310
2016-03-11,8811,8923,8756,8867,210430
2016-03-14,8923,8979,8811,8867,90150
2016-03-15,8867,8867,8756,8867,113840
2016-03-16,8811,8811,8588,8588,298870
2016-03-17,8644,8700,8477,8588,195920
2016-03-18,8588,8644,8533,8588,79290
2016-03-21,8700,8811,8644,8700,177050
2016-03-22,8700,8756,8588,8588,73360
2016-03-23,8644,8700,8588,8700,81460
2016-03-24,8756,8811,8644,8756,166690
2016-03-25,8756,8811,8700,8756,93810
2016-03-28,8811,8811,8700,8700,85470
2016-03-29,8644,8756,8588,8644,101140
2016-03-30,8533,8644,8533,8588,30870
2016-03-31,8588,8644,8421,8421,59990
2016-04-01,8477,8477,8365,8421,76360
2016-04-04,8421,8477,8365,8365,34900
2016-04-05,8365,8477,8365,8477,35210
2016-04-06,8477,8533,8365,8421,33560
2016-04-07,8477,8533,8421,8477,44780
2016-04-08,8477,8588,8421,8533,101900
2016-04-11,8533,8644,8533,8588,96990
2016-04-12,8588,8644,8477,8533,41990
2016-04-13,8477,8588,8421,8477,32250
2016-04-14,8421,8477,8365,8421,65170
2016-04-15,8309,8533,8309,8477,82180
2016-04-19,8477,8477,8254,8254,56650
2016-04-20,8198,8254,8142,8254,49000
2016-04-21,8254,8254,8142,8254,27270
2016-04-22,8142,8309,8142,8254,29540
2016-04-25,8588,8588,8421,8588,135550
2016-04-26,8588,8644,8533,8533,110320
2016-04-27,8477,8588,8421,8477,49610
2016-04-28,8477,8477,8365,8477,40980
2016-04-29,8365,8477,8365,8365,37930
2016-05-04,8365,8811,8365,8644,322850
2016-05-05,8700,8756,8588,8756,341280
2016-05-06,8869,8983,8869,8926,225130
2016-05-09,8926,9040,8812,8926,243600
2016-05-10,8926,8926,8812,8869,125390
2016-05-11,8926,8926,8812,8926,128100
2016-05-12,8869,8926,8756,8812,73160
2016-05-13,8869,8869,8642,8642,113660
2016-05-16,8642,8756,8585,8642,42770
2016-05-17,8585,8756,8585,8756,103450
2016-05-18,8756,8869,8699,8756,41930
2016-05-19,8756,8812,8699,8699,57210
2016-05-20,8642,8812,8642,8756,42320
2016-05-23,8869,9097,8812,9097,803880
2016-05-24,9267,9551,9267,9495,588980
2016-05-25,9495,9551,9438,9551,184200
2016-05-26,9551,9608,9381,9381,279620
2016-05-27,9381,9665,9324,9608,428880
2016-05-30,9665,9722,9608,9722,185160
2016-05-31,9779,9836,9722,9779,156180
2016-06-01,9779,9779,9665,9722,89680
2016-06-02,9722,9722,9665,9722,120220
2016-06-03,9722,10063,9722,10006,303770
2016-06-06,10063,10518,10063,10461,555590
