date,open,low,high,close,volume
2015-01-05 00:00:00,600.48,599.69,604.99,599.69,50120690
2015-01-06 00:00:00,594.37,593.46,606.45,606.37,44823080
2015-01-07 00:00:00,606.49,606.49,611.78,607.65,52993980
2015-01-08 00:00:00,607.52,605.37,609.85,606.85,35326680
2015-01-09 00:00:00,608.26,608.26,619.52,618.41,54770470
2015-01-12 00:00:00,618.04,615.49,624.18,615.73,74155790
2015-01-13 00:00:00,614.22,614.06,619.58,619.39,46041450
2015-01-14 00:00:00,620.56,611.9,621.75,616.84,46841670
2015-01-15 00:00:00,617.12,613.8,619.05,617.62,50256690
2015-01-16 00:00:00,616.89,613.4,617.52,614.72,45619400
2015-01-19 00:00:00,616.91,609.77,618.29,611.64,37281780
2015-01-20 00:00:00,611.46,608.32,614.5,609.19,27310040
2015-01-21 00:00:00,611.5,606.53,611.63,606.53,27805930
2015-01-22 00:00:00,607.68,604.35,613.35,610.35,35661460
2015-01-23 00:00:00,611.79,611.79,618.9,615.16,43465530
2015-01-26 00:00:00,618.14,612.64,619.21,612.64,27978130
2015-01-27 00:00:00,613.03,606.75,616.69,609.98,56520410
2015-01-28 00:00:00,610.54,608.41,614.95,613.53,42686560
2015-01-29 00:00:00,613.87,610.57,615.63,613.9,38860910
2015-01-30 00:00:00,613.41,604.98,613.47,606.54,33840790
2015-02-02 00:00:00,606.02,598.46,609.79,598.46,28617500
2015-02-03 00:00:00,600.02,585.47,601.33,585.47,37859200
2015-02-04 00:00:00,585.32,581.24,588.83,588.83,45743550
2015-02-05 00:00:00,587.54,587.47,593.56,591.28,29515570
2015-02-06 00:00:00,592.4,592.4,597.06,595.69,23398110
2015-02-09 00:00:00,595.69,594.77,598.82,594.77,27637200
2015-02-10 00:00:00,594.79,594.72,599.43,595.53,23232540
2015-02-11 00:00:00,596.7,596.41,607.33,607.33,36021250
2015-02-12 00:00:00,608.89,608.89,614.69,613.36,37582450
2015-02-13 00:00:00,615.33,614.96,618.46,617.2,30277560
2015-02-24 00:00:00,619.48,618.73,624.17,624.17,27534650
2015-02-25 00:00:00,623.69,619.23,627.94,619.44,37930160
2015-02-26 00:00:00,621.0,618.09,623.99,623.84,45480930
2015-02-27 00:00:00,625.35,618.39,625.35,618.39,31015980
2015-03-02 00:00:00,619.2,615.39,621.04,617.05,33074500
2015-03-03 00:00:00,618.0,618.0,627.39,627.27,46445600
2015-03-04 00:00:00,628.77,625.66,630.52,629.69,38281850
2015-03-05 00:00:00,629.58,625.25,630.72,625.25,44971620
2015-03-06 00:00:00,625.15,622.75,629.71,622.75,37192250
2015-03-09 00:00:00,619.37,618.96,622.95,621.1,48318880
2015-03-11 00:00:00,622.48,619.27,623.65,619.27,33458430
2015-03-12 00:00:00,619.0,616.52,621.81,620.24,35829930
2015-03-13 00:00:00,620.4,616.94,622.56,616.94,50022480
2015-03-16 00:00:00,613.99,609.78,616.42,610.63,52211850
2015-03-17 00:00:00,609.37,609.37,612.72,611.24,44165630
2015-03-18 00:00:00,610.31,607.08,611.2,607.18,41907400
2015-03-19 00:00:00,607.64,600.87,608.81,601.31,39520700
2015-03-20 00:00:00,600.19,599.91,604.67,603.76,105742910
2015-03-23 00:00:00,604.09,597.94,607.4,598.07,46210900
2015-03-24 00:00:00,596.65,590.18,596.65,593.8,35141090
2015-03-25 00:00:00,593.5,589.42,593.96,590.17,38156130
2015-03-26 00:00:00,587.99,585.81,590.94,586.7,30028020
2015-03-27 00:00:00,588.68,580.34,590.64,583.02,34429370
2015-03-30 00:00:00,583.22,576.41,584.99,576.6,36168370
2015-03-31 00:00:00,576.8,576.8,582.51,579.97,38523860
2015-04-01 00:00:00,580.27,568.45,580.61,569.48,49556230
2015-04-02 00:00:00,577.36,574.43,580.11,577.66,30629150
2015-04-06 00:00:00,578.14,572.71,579.56,572.71,20252990
2015-04-07 00:00:00,572.72,570.09,578.21,577.69,40889220
2015-04-08 00:00:00,578.6,574.85,580.08,575.94,26889510
