date,open,high,low,close,volume
2015-04-23,10875,10904,10787,10875,408610
2015-04-24,10934,10963,10875,10934,185110
2015-04-27,10904,10963,10640,10640,201080
2015-05-04,10640,10787,10434,10463,511240
2015-05-05,10463,10934,10434,10934,473810
2015-05-06,10875,10992,10787,10904,429770
2015-05-07,10904,11081,10846,11051,686100
2015-05-08,11051,11492,10963,11375,1036170
2015-05-11,11375,11522,11345,11433,312920
2015-05-12,11492,11492,11257,11345,432980
2015-05-13,11345,11345,11022,11198,364050
2015-05-14,11110,11316,11110,11257,61900
2015-05-15,11257,11433,11139,11286,465740
2015-05-18,11139,11375,11081,11345,556660
2015-05-19,11257,11610,11198,11492,350870
2015-05-20,11492,11668,11463,11639,482750
2015-05-21,11757,11904,11668,11757,685570
2015-05-22,11845,12433,11757,12403,1282150
2015-05-25,12286,12462,12227,12344,686420
2015-05-26,12344,12815,12315,12638,1016490
2015-05-27,12403,12815,12403,12609,757720
2015-05-28,12521,12991,12491,12668,1048640
2015-05-29,12580,12932,12550,12727,1080710
2015-06-01,12727,13520,12727,13432,1207510
2015-06-02,13491,14167,13461,13491,2101670
2015-06-03,13520,13667,12932,13079,667560
2015-06-04,13021,13373,12903,13079,403010
2015-06-05,12932,13432,12844,13256,602160
2015-06-08,13256,13491,13109,13314,452900
2015-06-09,13226,13314,12903,12991,691070
2015-06-10,13050,13050,12580,12727,630440
2015-06-11,12815,13109,12609,12844,805370
2015-06-12,12815,12932,12785,12815,257260
2015-06-15,12815,13314,12815,13314,454090
2015-06-16,13314,13373,13079,13079,360950
2015-06-17,12932,13256,12903,13050,272520
2015-06-18,13021,13344,13021,13197,462680
2015-06-19,13167,13667,13138,13667,1800460
2015-06-22,13697,13990,13697,13990,614680
2015-06-23,13961,14020,13814,13990,400240
2015-06-24,13990,14020,13785,13785,503260
2015-06-25,13785,13932,13667,13785,497890
2015-06-26,14025,14085,13424,13424,689150
2015-06-29,13274,14175,13244,14115,801070
2015-06-30,13995,14685,13995,14655,1268430
2015-07-01,14655,14685,14205,14565,543510
2015-07-02,14535,15466,14505,15466,977550
2015-07-03,15466,16517,15466,16367,784290
2015-07-06,16367,16667,15917,16367,1229700
2015-07-07,16217,16818,16067,16217,1003450
2015-07-08,16217,16367,15166,15616,1655430
2015-07-09,15466,16367,15166,15766,1079840
2015-07-10,16217,16217,15766,15766,464880
2015-07-13,15917,16067,15616,15766,525230
2015-07-14,15766,15917,15016,15766,514730
2015-07-15,15766,15766,15316,15316,400670
2015-07-16,15316,15616,15016,15316,375790
2015-07-17,15466,15616,15316,15316,343320
2015-07-20,15316,15316,14805,14835,426470
2015-07-21,14835,15166,14685,14775,605660
2015-07-22,14775,15766,14715,15616,1103990
2015-07-23,15766,15917,15466,15466,399180
2015-07-24,15466,15616,15166,15166,353890
2015-07-27,15166,15466,15016,15316,925380
2015-07-28,15466,15917,15316,15466,748360
2015-07-29,15466,15616,15316,15316,396810
2015-07-30,15316,15316,15016,15316,320770
2015-07-31,15466,15466,14986,14986,373390
2015-08-03,14956,14956,14055,14385,1106740
2015-08-04,14325,14445,13814,13814,747010
2015-08-05,13814,14055,13724,13844,1028160
2015-08-06,13844,14085,13484,13544,892770
2015-08-07,13544,13604,13214,13484,1371930
2015-08-10,13394,13935,13394,13935,412410
2015-08-11,14055,14385,13905,14145,1507950
2015-08-12,13995,14055,13604,13664,1038470
2015-08-13,13664,13664,13184,13214,1183060
2015-08-14,13214,13334,12733,13004,1536800
2015-08-17,13034,13154,12103,12313,1552820
2015-08-18,12313,12763,12253,12763,1044970
2015-08-19,12703,13064,12373,13004,1125290
2015-08-20,12853,13064,12673,12883,768710
2015-08-21,12673,12733,12193,12733,1153140
2015-08-24,12613,12613,11862,11862,2073440
2015-08-25,11412,12223,11412,12043,1945960
2015-08-26,12043,12553,12043,12313,1029560
2015-08-27,12523,12853,12403,12493,1471170
2015-08-28,12493,13034,12493,13034,2136610
2015-08-31,13064,13094,12763,12763,1309110
2015-09-01,12793,12913,12613,12763,657910
2015-09-03,12703,12853,12403,12493,1436900
2015-09-04,12493,12703,12493,12613,545040
2015-09-07,12613,12793,12583,12643,593370
2015-09-08,12643,13334,12613,13334,2703220
2015-09-09,13604,13995,13514,13754,1813760
2015-09-10,13514,14055,13454,13814,1389010
2015-09-11,13664,13844,13394,13454,892160
2015-09-14,13424,13724,12974,12974,1161100
2015-09-15,12974,13034,12793,12823,728090
2015-09-16,12913,13244,12913,13214,573270
