date,open,high,low,close,volume
2015-04-21,2928,2928,2915,2928,424870
2015-04-22,2928,2993,2928,2928,639770
2015-04-23,2935,2954,2883,2889,485650
2015-04-24,2896,2902,2889,2889,371010
2015-04-27,2922,2954,2857,2857,394780
2015-05-04,2902,2902,2792,2811,1045680
2015-05-05,2811,2902,2805,2870,767180
2015-05-06,2876,2889,2824,2824,993740
2015-05-07,2824,2857,2824,2844,540380
2015-05-08,2871,2941,2811,2811,565420
2015-05-11,2801,2831,2751,2761,405070
2015-05-12,2801,2801,2681,2681,684210
2015-05-13,2661,2681,2592,2622,1291880
2015-05-14,2602,2671,2592,2671,734690
2015-05-15,2671,2671,2602,2602,554930
2015-05-18,2552,2592,2472,2472,1773500
2015-05-19,2452,2512,2452,2492,859380
2015-05-20,2492,2661,2492,2661,904140
2015-05-21,2661,2681,2622,2661,580790
2015-05-22,2641,2681,2632,2681,500280
2015-05-25,2681,2711,2632,2661,202540
2015-05-26,2681,2721,2651,2711,681280
2015-05-27,2701,2711,2661,2671,414100
2015-05-28,2641,2701,2641,2671,423170
2015-05-29,2671,2691,2641,2651,559300
2015-06-01,2651,2661,2632,2632,543570
2015-06-02,2612,2641,2612,2622,948500
2015-06-03,2602,2632,2552,2552,1464690
2015-06-04,2552,2582,2552,2562,1077090
2015-06-05,2572,2572,2502,2522,1935780
2015-06-08,2542,2602,2542,2592,917010
2015-06-09,2592,2771,2582,2691,2789760
2015-06-10,2741,2831,2741,2821,3194220
2015-06-11,2881,2911,2841,2871,1445080
2015-06-12,2871,2901,2831,2851,1333800
2015-06-15,2851,2871,2831,2861,1672040
2015-06-16,2871,2941,2851,2881,1806050
2015-06-17,2861,2871,2821,2831,1581070
2015-06-18,2861,2861,2801,2821,887580
2015-06-19,2811,2821,2741,2741,2592640
2015-06-22,2781,2781,2751,2771,524900
2015-06-23,2761,2841,2761,2811,801860
2015-06-24,2781,2811,2771,2781,1042290
2015-06-25,2761,2781,2731,2731,898180
2015-06-26,2731,2791,2711,2721,726400
2015-06-29,2721,2791,2721,2791,1060110
2015-06-30,2781,2881,2771,2881,3428620
2015-07-01,2881,2891,2791,2811,1078850
2015-07-02,2811,2861,2791,2851,925320
2015-07-03,2861,2891,2851,2861,1073110
2015-07-06,2861,2941,2861,2931,1864540
2015-07-07,2931,3060,2891,3000,2857450
2015-07-08,3000,3040,2950,2970,1753620
2015-07-09,2950,2960,2901,2911,1809260
2015-07-10,2941,2941,2881,2881,1348180
2015-07-13,2891,2931,2851,2861,1169610
2015-07-14,2861,2960,2811,2911,2295100
2015-07-15,2921,2931,2851,2851,931880
2015-07-16,2841,2960,2821,2950,1582160
2015-07-17,3020,3080,3000,3010,2675200
2015-07-20,3000,3040,2950,3040,1390780
2015-07-21,3040,3130,3040,3130,2696070
2015-07-22,3140,3339,3140,3339,5105670
2015-07-23,3369,3399,3289,3299,1600250
2015-07-24,3299,3479,3299,3449,3303290
2015-07-27,3489,3578,3489,3549,2415310
2015-07-28,3549,3578,3419,3419,2009060
2015-07-29,3389,3449,3329,3329,3073500
2015-07-30,3319,3399,3309,3349,1363300
2015-07-31,3339,3359,3240,3240,2290540
2015-08-03,3190,3279,3140,3240,2856040
2015-08-04,3240,3319,3220,3250,996510
2015-08-05,3289,3369,3279,3349,1060620
2015-08-06,3359,3359,3299,3309,998530
2015-08-07,3329,3419,3309,3399,2700970
2015-08-10,3429,3509,3429,3469,2228850
2015-08-11,3489,3489,3419,3439,1979760
2015-08-12,3419,3419,3299,3319,2887340
2015-08-13,3299,3319,3200,3259,2493440
2015-08-14,3250,3319,3190,3250,1829940
2015-08-17,3269,3269,3160,3160,1433820
2015-08-18,3160,3210,3130,3200,1422730
2015-08-19,3180,3190,3110,3170,1641650
2015-08-20,3170,3190,3080,3100,1210690
2015-08-21,3040,3040,2931,3010,2521210
2015-08-24,2950,2950,2801,2801,4405860
2015-08-25,2751,2990,2751,2990,2794310
2015-08-26,3030,3170,3030,3140,1892880
2015-08-27,3140,3180,3100,3120,2252900
2015-08-28,3120,3190,3110,3150,2353430
2015-08-31,3140,3140,3090,3100,1019870
2015-09-01,3100,3150,3090,3100,1450450
2015-09-03,3090,3090,2970,3000,1419780
2015-09-04,3000,3030,2941,2960,830070
2015-09-07,2931,2970,2901,2911,895920
2015-09-08,2921,3010,2911,3010,815360
2015-09-09,3050,3070,3020,3060,1426770
2015-09-10,3020,3060,2990,3030,697840
2015-09-11,3020,3030,2960,2960,880950
2015-09-14,2960,2980,2901,2921,594000
2015-09-15,2911,2931,2901,2911,480030
2015-09-16,2921,2960,2911,2960,356310
2015-09-17,2970,3030,2970,2990,608370
2015-09-18,3040,3080,3030,3070,1592720
2015-09-21,3060,3220,3030,3160,2153670
2015-09-22,3160,3190,3140,3170,786300
2015-09-23,3140,3170,3120,3150,1064130
2015-09-24,3160,3160,3120,3130,1011600
2015-09-25,3110,3130,3090,3100,506830
2015-09-28,3090,3110,3010,3010,1005260
2015-09-29,2990,3000,2960,3000,1006020
2015-09-30,3010,3060,3010,3030,554080
2015-10-01,3030,3060,3030,3060,304040
2015-10-02,3060,3120,3060,3090,795710
2015-10-05,3080,3130,3070,3130,1300420
2015-10-06,3160,3200,3140,3190,3208050
2015-10-07,3200,3200,3130,3140,1510940
2015-10-08,3150,3220,3130,3210,1920520
2015-10-09,3230,3269,3200,3230,1589230
2015-10-12,3240,3289,3230,3269,2015180
2015-10-13,3250,3259,3230,3230,903340
2015-10-14,3230,3250,3220,3220,1203260
2015-10-15,3230,3319,3220,3220,2543820
2015-10-16,3240,3269,3180,3190,2343410
2015-10-19,3210,3210,3170,3190,1717090
2015-10-20,3190,3190,3120,3130,1727880
2015-10-21,3130,3170,3100,3110,1133870
2015-10-22,3100,3140,3100,3130,881840
2015-10-23,3190,3190,3150,3170,1050300
2015-10-26,3180,3230,3180,3180,1371800
2015-10-27,3180,3190,3150,3160,837210
2015-10-28,3160,3170,3130,3130,986700
2015-10-29,3140,3170,3130,3140,1479150
2015-10-30,3140,3160,3130,3140,1046520
2015-11-02,3140,3140,3090,3110,1201140
2015-11-03,3110,3140,3080,3140,934900
2015-11-04,3150,3150,3080,3100,1137210
2015-11-05,3100,3120,3090,3090,651500
2015-11-06,3090,3120,3070,3090,925860
2015-11-09,3070,3100,3060,3060,555820
2015-11-10,3060,3070,3030,3040,674010
2015-11-11,3040,3050,3020,3020,730200
2015-11-12,3020,3030,2970,3000,1406120
2015-11-13,3000,3010,2980,3000,1306930
2015-11-16,3010,3010,2950,2950,1217400
2015-11-17,2950,3040,2950,3010,2014180
2015-11-18,3020,3030,2990,3000,596730
2015-11-19,3000,3000,2970,2970,436500
2015-11-20,2960,3000,2950,2980,812890
2015-11-23,2990,3020,2990,3010,966110
2015-11-24,3010,3030,3000,3000,1097160
2015-11-25,3000,3100,2980,3100,2194230
2015-11-26,3130,3190,3110,3160,2819750
2015-11-27,3170,3200,3120,3120,3387410
2015-11-30,3090,3090,3030,3040,1147460
2015-12-01,3050,3060,3020,3020,1041490
2015-12-02,3020,3060,3020,3050,1342220
2015-12-03,3050,3080,3040,3050,658700
2015-12-04,3050,3050,3000,3020,817290
2015-12-07,3000,3020,2970,2980,691540
2015-12-08,2960,3030,2950,3020,776960
2015-12-09,3020,3030,2970,2970,530540
2015-12-10,2960,2990,2931,2931,1068970
2015-12-11,2941,2980,2931,2970,849510
2015-12-14,3090,3090,3050,3050,1578990
2015-12-15,3040,3070,3040,3050,1399890
2015-12-16,3060,3060,3040,3040,754300
2015-12-17,3040,3050,3020,3030,644820
2015-12-18,3030,3060,3010,3030,9525010
2015-12-21,3010,3010,2970,2990,881460
2015-12-22,2980,2980,2950,2960,435510
2015-12-23,2970,2970,2931,2941,664920
2015-12-24,2941,2970,2941,2941,230640
2015-12-25,2941,2960,2931,2941,403760
2015-12-28,2941,2950,2881,2881,1002190
2015-12-29,2891,2901,2861,2881,466130
2015-12-30,2911,2941,2891,2921,652720
2015-12-31,2921,2921,2881,2911,390410
2016-01-04,2901,2921,2871,2871,404530
2016-01-05,2861,2881,2841,2841,628760
2016-01-06,2841,2891,2841,2891,658730
2016-01-07,2851,2861,2801,2811,1030130
2016-01-08,2761,2801,2741,2761,864290
2016-01-11,2781,2781,2751,2761,488320
2016-01-12,2751,2801,2751,2791,343540
2016-01-13,2801,2801,2741,2741,685150
2016-01-14,2731,2731,2632,2641,1479820
2016-01-15,2641,2651,2522,2542,2199370
2016-01-18,2402,2482,2382,2472,2898070
2016-01-19,2482,2542,2472,2512,2466700
2016-01-20,2502,2542,2462,2512,1989300
2016-01-21,2472,2542,2472,2542,2017340
2016-01-22,2552,2582,2522,2552,2755250
2016-01-25,2592,2721,2592,2711,1238860
